id,created_at,countyfips,text
1455491902082625545,"2021-11-02 11:08:05",18139,"Great Resource Available to Students

Counselors Corner website is up and going for your use.… https://t.co/uFXfp5eckk"
1455491922890461188,"2021-11-02 11:08:10",21055,"@cwatkins346 That young man is a hoss. Saw him at Greenville University Camp. Good luck in the playoffs"
1455491975419998208,"2021-11-02 11:08:23",19123,"Sich bei einem dieser öden, langen Webex-Meetings einfach die hübscheste Teilnehmerin auf groß stellen, Youtube-Mus… https://t.co/CxclnWo2xG"
1455492041450868736,"2021-11-02 11:08:39",12133,"https://t.co/x55r1u5F5T https://t.co/p8AMgnZiDm"
1455492121998282753,"2021-11-02 11:08:58",18139,"See Something...Say Something! https://t.co/EL6Z8wMext"
1455492140256071684,"2021-11-02 11:09:02",09009,"@Lo_Zanzi @harvardmed @Harvard @BostonChildrens Congrats!"
1455492160808181765,"2021-11-02 11:09:07",22077,"hora libreee"
1455492179980427269,"2021-11-02 11:09:12",13205,"both of my babies sick ???"
1455492220124082185,"2021-11-02 11:09:21",22077,"que aburrimiento"
1455492339280007172,"2021-11-02 11:09:50",21237,"@CUHMBB @Coach_ACSparrow @jrice1020 @Jerontinsley2 @_tyduncan @tmcdanielsjr5 CU-Har always play a great schedule  -… https://t.co/jyHH7o2zg4"
1455492375212613644,"2021-11-02 11:09:58",18041,"@DavidSchwimmer  of Friends is 55 today. Call in your birthdays and anniversaries and join the party https://t.co/nofyiAdl45"
1455492384037515266,"2021-11-02 11:10:00",24035,"@realboshek @LttleGel Maldonado is a far superior defensive catcher making about a million less. Plus, Gary would m… https://t.co/zsYo2qhw7O"
1455492388982460417,"2021-11-02 11:10:01",18129,"@Pathakwords @shaandelhite @Gauravsavad @thefu_k @60plus9_ Vaise zarurat mujhe bhi nhi"
1455492423648518148,"2021-11-02 11:10:10",21085,"Open enrollment for Kentucky's healthcare exchange begins https://t.co/JeGeV5QYlb"
1455492435891601408,"2021-11-02 11:10:13",18049,https://t.co/Hf2Am4wSiG
1455492521715507204,"2021-11-02 11:10:33",22097,"I’m cute af lmao"
1455492542867386368,"2021-11-02 11:10:38",18029,"@elevenseshour_ Isn't it just! Thank you! 
??
#elevenseshour"
1455492648899383306,"2021-11-02 11:11:03",17101,"Jack has poison something and mom was discussing putting baking soda is his bath and the kid goes “baking soda? i d… https://t.co/vf9acE7OHW"
1455492663273144325,"2021-11-02 11:11:07",18129,"@Pathakwords @shaandelhite @Gauravsavad @thefu_k @60plus9_ Sach me"
1455492737617305602,"2021-11-02 11:11:25",18183,"Neptune November &amp; coffee https://t.co/uV8mBvsYtp"
1455492820010258438,"2021-11-02 11:11:44",18049,https://t.co/HOEh135LPK
1455492863756808195,"2021-11-02 11:11:55",13231,"@PeachtreeCritic @Hudl Thank you so much. My team had some good blocks to help me show my talents."
1455492943066894343,"2021-11-02 11:12:14",12133,"EWWW it was in my State? https://t.co/hPzJST7lTJ"
1455493059907493895,"2021-11-02 11:12:41",18077,"tinatamad ako magaral :&gt;"
1455493077947330567,"2021-11-02 11:12:46",05057,"@Kotomi135 Ya, lo que fallan en ver es que a ti te puede gustar la estética anime y no asociar a los personajes con… https://t.co/TqlpI4PM7m"
1455493086319194112,"2021-11-02 11:12:48",21147,https://t.co/9t5SLdR3WD
1455493138689118212,"2021-11-02 11:13:00",18077,"@kerbietomenio16 @Kimpaii_lol pain"
1455493210399141892,"2021-11-02 11:13:17",18129,"@Pathakwords @shaandelhite @Gauravsavad @thefu_k @60plus9_ To ?‍♂️"
1455493232058683397,"2021-11-02 11:13:22",21123,"Congratulations to the Lady Bruins of Central Hardin who beat McCracken County 3-1, last night in the first round o… https://t.co/l6OKQnbL2I"
1455493235678355460,"2021-11-02 11:13:23",21059,"@genecowan Thank you for including a comma."
1455493423910240256,"2021-11-02 11:14:08",12107,"@zachthebaptist @dearchurchpod @mnwickens I’ll save everyone the money. Have him read Acts 8:37 from the NIV…. And… https://t.co/gD5TJpv3fw"
1455493456801853448,"2021-11-02 11:14:16",05143,"2 ปี เต็มๆที่ไม่ได้เล่นละครยาวๆแบบนี้ นานอยู่ 5555"
1455493469892489219,"2021-11-02 11:14:19",21197,"@thevictorpuente It’s impressive that 9 people just burst and/or ruptured."
1455493534421700609,"2021-11-02 11:14:35",18075,"Check out this listing I just added to my #Poshmark closet: L XL Vintage 50s Black Goth Rhinestone Long Sleeve Dres… https://t.co/pgmH7ansAm"
1455493650155196419,"2021-11-02 11:15:02",13123,"Doc Whaley has a fresh perspective on the future of Blue Ridge. If you want a complete, competent, and impartial an… https://t.co/5edfvlqfcv"
1455493742996115457,"2021-11-02 11:15:24",21123,"@funder #VoteTerry"
1455493785039908874,"2021-11-02 11:15:34",05131,"@tim_radio @GWoodDogPound @kyiahjadejulian I spy a Bulldog!"
1455493786847481856,"2021-11-02 11:15:35",09013,"이정도면 일찍퇴근...."
1455493850689155074,"2021-11-02 11:15:50",12035,"Lifestyle forecasts for FSWN Flagler County EM West-Flagler Bunnell (https://t.co/Zk5BQ8QJKh) #flsert https://t.co/X0U55PGMaM"
1455493878262505475,"2021-11-02 11:15:57",01015,"@NatGeo Amazing beauty ?✅‼️?"
1455493902954283016,"2021-11-02 11:16:02",19123,"@Herr_Kaleun Volle Zustimmung! Nur muß man da höllisch aufpassen, daß die Frau keinen Blick auf's Tablet werfen kann."
1455493911569485824,"2021-11-02 11:16:04",21055,"@GUPanthers That guy had a great game!! That O Line did great as well."
